Reference,Physical pad,Manufacturer function,KiCad net,Unused rationale
U1,52,GND,GND,
U1,53,GND,GND,
U1,54,GND,GND,
U1,55,GND,GND,
U1,56,GND,GND,
U1,57,GND,GND,
U1,58,GND,GND,
U1,59,GND,GND,
U1,60,GND,GND,
U1,61,GND,GND,
U1,62,GND,GND,
U1,63,GND,GND,
U1,64,GND,GND,
U1,65,GND,GND,
U2,1,SDO/SA0,/ACCEL_MISO,
U2,2,RES->VDDIO_or_GND,GND,
U2,3,RES->VDDIO_or_GND,GND,
U2,4,INT1,/ACCEL_DRDY,
U2,5,VDD_IO,/+3V3,
U2,6,GND,GND,
U2,7,GND,GND,
U2,8,VDD,/+3V3,
U2,9,INT2,unconnected-(U2-INT2-Pad9),INT2 unused
U2,10,RES->VDDIO_or_open,unconnected-(U2-RES-Pad10),Reserved pad: leave unconnected per ST DS12569
U2,11,RES->VDDIO_or_open,unconnected-(U2-RES-Pad11),Reserved pad: leave unconnected per ST DS12569
U2,12,CS,/ACCEL_CS,
U2,13,SPC/SCL,/ACCEL_SCK,
U2,14,SDI/SDA,/ACCEL_MOSI,
U3,1,NC,unconnected-(U3-NC-Pad1),No internal connection per TI
U3,2,GND,GND,
U3,3,VIN,Net-(U3-VR_IN),
U3,4,NC,unconnected-(U3-NC-Pad4),No internal connection per TI
U3,5,MODE,unconnected-(U3-MODE-Pad5),Intentional open selects adaptive Mode 1 per TI; not a missing bias
U3,6,NC,unconnected-(U3-NC-Pad6),No internal connection per TI
U3,7,PEAK_DETECTOR,Net-(U3-PEAK_DET),
U3,8,VCC,/+3V3,
U3,9,TIMING_INPUT,GND,
U3,10,GATED_OUTPUT,unconnected-(U3-GATED_OUT-Pad10),Unused gated output; using open-collector reference pulse on pin 12
U3,11,INPUT_SELECT,GND,
U3,12,REFERENCE_PULSE_OC,/MAG_TACH,
U3,13,NC,unconnected-(U3-NC-Pad13),No internal connection per TI
U3,14,RC_TIMING,Net-(U3-RC_TIMING),
U5,1,TS,/TS,
U5,2,BAT,/BAT,
U5,3,BAT,/BAT,
U5,4,CE,GND,
U5,5,EN2,/CHG_EN2,
U5,6,EN1,/CHG_EN1,
U5,7,PGOOD,/PGOOD_N,
U5,8,VSS,GND,
U5,9,CHG,/CHG_STAT,
U5,10,OUT,/SYS,
U5,11,OUT,/SYS,
U5,12,ILIM,/ILIM,
U5,13,IN,/USB_VBUS,
U5,14,TMR,unconnected-(U5-TMR-Pad14),TMR left open: sets the default pre-charge and fast-charge safety timers (SLUS810N Table 7-1)
U5,15,SYSOFF,GND,
U5,16,ISET,/ISET,
U5,17,EP_VSS,GND,
U6,1,VOUT,/+3V3,
U6,2,L2,Net-(U6-L2),
U6,3,PGND,GND,
U6,4,L1,Net-(U6-L1),
U6,5,VIN,/SYS_SW,
U6,6,EN,/SYS_SW,
U6,7,PS/SYNC,/SYS_SW,
U6,8,VINA,/SYS_SW,
U6,9,GND,GND,
U6,10,FB,/+3V3,
U6,11,EXPOSED_PAD/PGND,GND,
U7,1,I/O,/USB_CONN_D-,
U7,2,VN/GND,GND,
U7,3,I/O,/USB_CONN_D+,
U7,4,I/O,/USB_CONN_D+,
U7,5,VP,/USB_VBUS,
U7,6,I/O,/USB_CONN_D-,
U9,1,A,/OPT_COMP,
U9,2,B,Net-(C26-Pad1),
U9,3,GND,GND,
U9,4,Y,Net-(U10-~{A}),
U9,5,VCC,/+3V3,
U10,1,A,Net-(U10-~{A}),
U10,2,B,/+3V3,
U10,3,CLR,/+3V3,
U10,4,GND,GND,
U10,5,Q,/OPT_TACH,
U10,6,Cext,Net-(U10-Cext),
U10,7,Rext/Cext,Net-(U10-RCext),
U10,8,VCC,/+3V3,
